haircut_name,face_shape,gender,hair_ratio,vertical_extent,hair_width,coverage_top,texture_estimate
Buzz Cut,H,Male,0.542358863,0.160416667,205,7.177083333,12.64097527
Buzz Cut,H,Male,0.522421153,0.147916667,205,7.092447917,13.39000694
Buzz Cut,H,Male,0.525553741,0.15625,205,6.962239583,12.28675238
Buzz Cut,H,Male,0.526644875,0.160416667,206,6.798177083,12.36433669
Buzz Cut,H,Male,0.528935633,0.15625,207,6.73828125,11.77223499
Buzz Cut,H,Male,0.525563674,0.15625,206,6.338541667,11.28441871
Buzz Cut,S,Male,0.395204653,0.164583333,224,10.99348958,13.14748201
Buzz Cut,S,Male,0.390490279,0.1625,222,11.0546875,13.94233642
Buzz Cut,S,Male,0.38025668,0.160416667,223,11.14973958,14.57642906
Buzz Cut,S,Male,0.4013543,0.175,223,11.29036458,14.7658734
Buzz Cut,S,Male,0.39913076,0.172916667,224,11.29947917,13.72701149
Buzz Cut,S,Male,0.394181985,0.18125,239,11.50520833,14.2076034
Buzz Cut,S,Male,0.378611111,0.18125,234,11.86067708,13.35853037
Buzz Cut,S,Male,0.381185426,0.189583333,256,12.140625,12.34683794
Buzz Cut,S,Male,0.368483066,0.191666667,259,12.54036458,11.50090203
Buzz Cut,S,Male,0.375826155,0.197916667,246,13.56380208,11.48898918
Buzz Cut,S,Male,0.527213127,0.1,229,14.5078125,9.492310381
Buzz Cut,S,Male,0.53961799,0.097916667,226,14.33333333,10.53460223
Buzz Cut,S,Male,0.588406434,0.14375,223,14.45703125,9.122277617
Buzz Cut,S,Male,0.509663723,0.095833333,223,14.54427083,9.190592547
Buzz Cut,S,Male,0.559188579,0.1375,225,14.1171875,9.056936286
Buzz Cut,S,Male,0.519253371,0.097916667,225,14.10677083,9.321389794
Buzz Cut,S,Male,0.516517153,0.09375,224,14.50651042,8.763808522
Buzz Cut,S,Male,0.589899445,0.14375,225,14.26692708,9.844333748
Buzz Cut,S,Male,0.510860462,0.089583333,230,14.80859375,9.070717386
Buzz Cut,S,Male,0.51398613,0.097916667,224,14.49869792,9.870967742
Buzz Cut,S,Male,0.59869319,0.283333333,256,8.962239583,5.490596893
Buzz Cut,S,Male,0.636447661,0.254166667,251,8.6640625,5.773254817
Buzz Cut,S,Male,0.63822497,0.21875,263,8.916666667,5.339407864
Buzz Cut,S,Male,0.574088201,0.197916667,264,8.9375,5.24133347
